,Trial,Time,L X Coordinate,L Y Coordinate,R X Coordinate,R Y Coordinate,Label
572,Trial001,4223939665,643.25,232.18,643.25,232.18,Fixation
573,Trial001,4223972978,641.3,234.44,641.3,234.44,Fixation
574,Trial001,4224006337,639.12,235.63,639.12,235.63,Fixation
575,Trial001,4224039650,501.54,654.26,501.54,654.26,Saccade
576,Trial001,4224073008,494.9,675.4,494.9,675.4,Fixation
577,Trial001,4224106345,496.68,682.46,496.68,682.46,Fixation
578,Trial001,4224139650,497.19,684.14,497.19,684.14,Fixation
579,Trial001,4224173020,495.29,683.79,495.29,683.79,Fixation
580,Trial001,4224206230,496.16,685.66,496.16,685.66,Fixation
581,Trial001,4224239517,494.99,685.68,494.99,685.68,Fixation
582,Trial001,4224272994,497.62,687.37,497.62,687.37,Fixation
583,Trial001,4224306422,499.12,677.3,499.12,677.3,Fixation
584,Trial001,4224339630,505.23,663.98,505.23,663.98,Fixation
585,Trial001,4224372907,509.51,659.74,509.51,659.74,Fixation
586,Trial001,4224406305,510.68,658.07,510.68,658.07,Fixation
587,Trial001,4224439620,517.25,647.74,517.25,647.74,Fixation
588,Trial001,4224472982,519.48,649.33,519.48,649.33,Fixation
589,Trial001,4224506281,521.99,643.41,521.99,643.41,Fixation
