,Trial,Event Start Time,Event End Time,Event Duration,Fixation Position Centroid X,Fixation Position Centroid Y,Fixation Radius,Dispersion X,Dispersion Y
43,Trial001,4220640080.0,4220773238.0,133158.0,814.458,272.514,5.808769232806471,5.017999999999915,2.0640000000000214
44,Trial001,4220840005.0,4220973322.0,133317.0,830.508,395.254,6.281503004854865,0.84800000000007,6.224000000000046
45,Trial001,4221039985.0,4221139970.0,99985.0,852.435,700.3924999999999,6.395907382850343,4.034999999999968,4.962499999999977
46,Trial001,4221206629.0,4221373194.0,166565.0,920.5383333333334,697.4266666666666,5.671303250184783,5.658333333333417,1.4166666666666288
47,Trial001,4221440173.0,4221673208.0,233035.0,856.0550000000001,699.5225,7.227024370375435,5.665000000000077,2.2725000000000364
48,Trial001,4221773231.0,4222573218.0,799987.0,844.1504000000001,401.47,29.07252724067856,3.000400000000127,6.240000000000009
49,Trial001,4222673024.0,4222839780.0,166756.0,845.1850000000001,705.3383333333333,8.052798340397716,4.845000000000027,3.338333333333253
50,Trial001,4222906401.0,4223006310.0,99909.0,618.4625000000001,713.2450000000001,2.352058938462135,1.9025000000001455,1.1750000000000682
51,Trial001,4223106431.0,4223306288.0,199857.0,644.2614285714286,514.0285714285714,22.608755979460202,13.19142857142856,5.378571428571377
52,Trial001,4223372944.0,4223506315.0,133371.0,577.2,645.708,5.905739919772947,3.2100000000000364,5.807999999999993
53,Trial001,4223607332.0,4223806347.0,199015.0,701.2342857142858,444.9700000000001,14.55290657552358,12.764285714285734,2.7800000000000864
54,Trial001,4223872959.0,4224006337.0,133378.0,644.492,234.34400000000005,8.716248046034478,5.371999999999957,5.654000000000053
55,Trial001,4224073008.0,4224506281.0,133378.0,504.00642857142856,670.2907142857142,32.34163944262463,9.10642857142858,26.880714285714248
